text,label
"Este filme é incrível!","positivo"
"Eu odiei este filme.","negativo"
"Não gostei muito do filme, achei bem mediano.","negativo"
"Amei o filme, muito bom!","positivo"
"Filme muito ruim, não recomendo.","negativo"
"O filme é bom, mas esperava mais.","positivo"
"Atuação excelente, roteiro envolvente, recomendo!","positivo"
"Previsível e chato, não perca seu tempo.","negativo"
"É o melhor filme que já assisti!","positivo"
"Que filme horrível, atuações sofríveis.","negativo"
"A história é interessante, mas o ritmo é lento.","negativo"
"Um filme inspirador, me fez refletir.","positivo"
"Não entendi nada do filme.","negativo"
"Comédia hilária, ri do começo ao fim.","positivo"
"Suspense de tirar o fôlego!","positivo"
"Diálogos fracos e sem sentido.","negativo"
"Efeitos visuais impressionantes.","positivo"
"Final decepcionante, esperava mais.","negativo"
"Uma obra-prima!","positivo"
"Muito clichê, não surpreende.","negativo"
"Este filme é incrível!","positivo"
"Eu odiei este filme.","negativo"
"Não gostei muito do filme, achei bem mediano.","negativo"
"Amei o filme, muito bom!","positivo"
"Filme muito ruim, não recomendo.","negativo"
"O filme é bom, mas esperava mais.","positivo"
"Atuação excelente, roteiro envolvente, recomendo!","positivo"
"Previsível e chato, não perca seu tempo.","negativo"
"É o melhor filme que já assisti!","positivo"
"Que filme horrível, atuações sofríveis.","negativo"
"A história é interessante, mas o ritmo é lento.","negativo"
"Um filme inspirador, me fez refletir.","positivo"
"Não entendi nada do filme.","negativo"
"Comédia hilária, ri do começo ao fim.","positivo"
"Suspense de tirar o fôlego!","positivo"
"Diálogos fracos e sem sentido.","negativo"
"Efeitos visuais impressionantes.","positivo"
"Final decepcionante, esperava mais.","negativo"
"Uma obra-prima!","positivo"
"Muito clichê, não surpreende.","negativo"
"Este filme é incrível!","positivo"
"Eu odiei este filme.","negativo"
"Não gostei muito do filme, achei bem mediano.","negativo"
"Amei o filme, muito bom!","positivo"
"Filme muito ruim, não recomendo.","negativo"
"O filme é bom, mas esperava mais.","positivo"
"Atuação excelente, roteiro envolvente, recomendo!","positivo"
"Previsível e chato, não perca seu tempo.","negativo"
"É o melhor filme que já assisti!","positivo"
"Que filme horrível, atuações sofríveis.","negativo"
"A história é interessante, mas o ritmo é lento.","negativo"
"Um filme inspirador, me fez refletir.","positivo"
"Não entendi nada do filme.","negativo"
"Comédia hilária, ri do começo ao fim.","positivo"
"Suspense de tirar o fôlego!","positivo"
"Diálogos fracos e sem sentido.","negativo"
"Efeitos visuais impressionantes.","positivo"
"Final decepcionante, esperava mais.","negativo"
"Uma obra-prima!","positivo"
"Muito clichê, não surpreende.","negativo"
"Este filme é incrível!","positivo"
"Eu odiei este filme.","negativo"
"Não gostei muito do filme, achei bem mediano.","negativo"
"Amei o filme, muito bom!","positivo"
"Filme muito ruim, não recomendo.","negativo"
"O filme é bom, mas esperava mais.","positivo"
"Atuação excelente, roteiro envolvente, recomendo!","positivo"
"Previsível e chato, não perca seu tempo.","negativo"
"É o melhor filme que já assisti!","positivo"
"Que filme horrível, atuações sofríveis.","negativo"
"A história é interessante, mas o ritmo é lento.","negativo"
"Um filme inspirador, me fez refletir.","positivo"
"Não entendi nada do filme.","negativo"
"Comédia hilária, ri do começo ao fim.","positivo"
"Suspense de tirar o fôlego!","positivo"
"Diálogos fracos e sem sentido.","negativo"
"Efeitos visuais impressionantes.","positivo"
"Final decepcionante, esperava mais.","negativo"
"Uma obra-prima!","positivo"
"Muito clichê, não surpreende.","negativo"
"Este filme é incrível!","positivo"
"Eu odiei este filme.","negativo"
"Não gostei muito do filme, achei bem mediano.","negativo"
"Amei o filme, muito bom!","positivo"
